stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place,reference_place,stop_name_short
12262,La Jolla Bl & Camino De La Costa,32.8173698766,-117.271566187,12262,0,,2,N-N/B,,,LJ&Cmo De La Costa
12263,La Jolla Bl & Forward St,32.8136924817,-117.269219063,12263,0,,1,N-N/B,,,LJ&Forward
12264,La Jolla Bl & Midway St,32.8119483178,-117.267411979,12264,0,,1,M-Street-N/B,,,LJ&Midway
12266,Mission Bl & Sapphire St,32.8077069211,-117.258751147,12266,0,,1,N-N/B,,,Mission&Sapphire
12267,Mission Bl & Wilbur Av,32.8039644691,-117.257611501,12267,0,,1,N-N/B,,,Mission&Wilbur
12268,Mission Bl & Law St,32.8020973748,-117.257040134,12268,0,,1,N-N/B,,,Mission&Law
12269,Mission Bl & Missouri St,32.8002358275,-117.256462346,12269,0,,1,N-N/B,,,Mission&Missouri
12270,Mission Bl & Felspar St,32.7974118565,-117.25560023,12270,0,,1,N-N/B,misfel,,Mission&Felspar
12272,Mission Bl & Hornblend St,32.7955173495,-117.255018873,12272,0,,1,N-N/B,,,Mission&Hornblend
12274,Mission Bl & Reed Av,32.7924521281,-117.254079254,12274,0,,2,N-N/B,,,Mission&Reed
12275,Mission Bl & Windemere Ct,32.7885868313,-117.253169635,12275,0,,0,N-N/B,,,Mission&Windemere
12279,Mission Bl & San Jose Pl,32.7848214966,-117.252811128,12279,0,,1,N-N/B,,,Mission&San Jose
12280,Mission Bl & San Juan Pl,32.7803417918,-117.252421744,12280,0,,1,N-N/B,,,Mission&San Juan
12281,La Jolla Shores Dr & Calle De Oro,32.8590713615,-117.253386976,12281,0,,1,N-N/B,,,LJ Shores&Calle De Oro
12282,Mission Bl & Santa Clara Pl,32.7824559631,-117.252354703,12282,0,,1,N-N/B,,,Mission&Santa Clara
12284,La Jolla Shores Dr & Scripps Institute,32.8657251448,-117.252085225,12284,0,,1,M-Street-N/B,,,LJ Shores&Scripps Institute
12286,La Jolla Shores Dr & Shellback Way,32.8702241081,-117.251455758,12286,0,,1,N-N/B,,,LJ Shores&Shellback Way
12287,Catalina Bl & NRAD (Gate 3),32.7064538383,-117.248912509,12287,0,,0,N-N/B,spawar,,Catalina&NRAD (Gate 3)
12289,Catalina Bl & Rosecroft Ln,32.7127053853,-117.248063282,12289,0,,0,N-N/B,,,Catalina&Rosecroft
12292,Cabrillo Memorial Hwy & McClelland Rd,32.6992400231,-117.247419988,12292,0,,2,N-N/B,,,Cabrillo Memorial Hwy&McClelland
12294,Catalina Bl & Dupont St,32.7154957605,-117.247308077,12294,0,,0,N-N/B,,,Catalina&Dupont
