stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place,reference_place,stop_name_short,stop_url
99495,54th St & Westover Pl,32.72491114,-117.083789,99495,0,,0,F-N/B,,,54th&Westover,
99496,Escondido Transit Center,33.11833164,-117.0908527,99496,0,,0,,esctc,,Escondido TC,
99497,Del Lago Transit Station,33.07226078,-117.0705246,99497,0,,1,M-TC-Bus,lagbrt,,Del Lago Trnst Stn,
99499,La Media Rd & Otay Mesa Rd,32.56722183,-116.962637,99499,0,,0,F-S/B,,,La Media&Otay Mesa,
99504,Del Lago Transit Station,33.07240962,-117.0704607,99504,0,,1,M-TC-Bus,lagbrt,,Del Lago Trnst Stn,
99506,Rancho Bernardo Transit Station,33.01719395,-117.0809978,99506,0,,1,M-TC-Bus,ranbrt,,Rcho Bdo Trnst Stn,
99542,Virginia Avenue Transit Center,32.54281914,-117.0363955,99542,0,,0,M-TC-Bus,vatc,,VirginiaTC,
99546,Clairemont Mesa Bl & Complex St,32.83159062,-117.1352402,99546,0,kmtc,1,F-W/B,kmtc,,Cmnt Mesa&Complex,
99547,Sabre Springs Pkwy & Wimberly Sq,32.95458657,-117.0959401,99547,0,,1,F-S/B,,,Sabre Sprgs&Wimberly Sq,
99548,Sabre Springs Pkwy & Morning Creek Dr,32.95492681,-117.0952196,99548,0,,1,F-N/B,,,Sabre Sprgs&Morning Creek,
99570,Strothe Rd & Rosecrans St,32.70640337,-117.2388049,99570,0,,0,F-E/B,subros,,Strothe&Rosecrans,
99580,Grantville Trolley Station,32.78040259,-117.0972181,99580,0,gratro,0,,gratro,,Grantville Trly,
99581,Grantville Trolley Station,32.78021295,-117.0972163,99581,0,gratro,0,,gratro,,Grantville Trly,
99582,Grantville Trolley Station,32.78025015,-117.0970019,99582,0,gratro,0,,gratro,,Grantville Trly,
99586,Judicial Dr & Golden Haven Dr,32.8716994,-117.203601,99586,0,,1,F-S/B,,,Judicial&Golden Haven,
99587,Judicial Dr & Executive Dr,32.87617784,-117.205594,99587,0,,1,F-S/B,,,Judicial&Executive,
99588,Nobel Dr & Shoreline Dr,32.86443877,-117.201692,99588,0,,1,F-W/B,nobsho,,Nobel&Shoreline,
