stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,intersection_code,reference_place,stop_name_short,stop_place
40600,40600,Midland Rd & Cynthia Ln,,32.96086930,-117.03643208,,,0,,1,F-S/B,,Midland&Cynthia,
40790,40790,Midland Rd & Cynthia Ln,,32.96078865,-117.03614771,,,0,,1,N-N/B,,Midland&Cynthia,
40602,40602,Midland Rd & Edgemoor St,,32.96678748,-117.03632201,,,0,,1,F-S/B,,Midland&Edgemoor,
40601,40601,Midland Rd & Janette Ln,,32.96405881,-117.03623239,,,0,,1,F-S/B,,Midland&Janette,
40702,40702,Midland Rd & Janette Ln,,32.96396704,-117.03596748,,,0,,1,N-N/B,,Midland&Janette,
41024,41024,Midland Rd & Poinsettia Dr,,32.96610807,-117.03597358,,,0,,1,F-N/B,,Midland&Poinsettia,
40508,40508,Midland Rd & Poway Rd,,32.95732736,-117.03672966,,,0,,0,N-S/B,,Midland&Poway,midpow
40789,40789,Midland Rd & Poway Rd,,32.95750512,-117.03643784,,,0,,1,F-N/B,,Midland&Poway,midpow
41019,41019,Midland Rd & Summerlyn Apts,,32.95863266,-117.03633382,,,0,,1,M-Street-N/B,,Midland&Summerlyn Apts,
11712,11712,Midvale Dr & Gateway Dr,,32.72652426,-117.10945302,,,0,,1,N-S/B,,Midvale&Gateway,
10040,10040,Midway Dr & Duke St,,32.75392997,-117.21814068,,,0,,1,N-S/B,,Midway&Duke,
11162,11162,Midway Dr & Duke St,,32.75377216,-117.21758599,,,0,,1,N-N/B,,Midway&Duke,
10410,10410,Midway Dr & East Dr,,32.75028454,-117.20910415,,,0,,1,F-S/B,,Midway&East,
11169,11169,Midway Dr & East Dr,,32.75051868,-117.20974419,,,0,,1,F-N/B,,Midway&East,
11570,11570,Midway Dr & Fordham St,,32.75114508,-117.21365733,,,0,,1,N-S/B,,Midway&Fordham,
12347,12347,Midway Dr & Fordham St,,32.75112113,-117.21320496,,,0,,1,N-N/B,,Midway&Fordham,
10043,10043,Midway Dr & Kemper St,,32.75243625,-117.21584744,,,0,,1,N-S/B,,Midway&Kemper,
10796,10796,Midway Dr & Kemper St,,32.75199475,-117.21466517,,,0,,1,N-N/B,,Midway&Kemper,
50051,50051,Mile Of Cars Wy & Hoover Av,,32.66137106,-117.10431146,,,0,,1,N-W/B,,Mile Of Cars&Hoover,
88958,88958,Millenia Station,,32.61781841,-116.96411734,,,0,,0,M-Street-W/B,,Millenia Sta,milsta
88959,88959,Millenia Station,,32.61778194,-116.96381860,,,0,,0,M-Street-E/B,,Millenia Sta,milsta
39020,39020,Miller Dr & Boswell Rd,,32.65463268,-116.96753373,,,0,,1,N-E/B,,Miller&Boswell,
39022,39022,Miller Dr & Boswell Rd,,32.65491142,-116.96780891,,,0,,1,F-W/B,,Miller&Boswell,
39019,39019,Miller Dr & Eastlake Pkwy,,32.65305726,-116.96809921,,,0,,1,F-E/B,,Miller&Eastlake,
13210,13210,Mira Mesa Bl & Aderman Av,,32.90907638,-117.16173848,,,0,,1,F-E/B,,Mra Msa&Aderman,
13216,13216,Mira Mesa Bl & Aderman Av,,32.90924940,-117.16250273,,,0,,1,F-W/B,,Mra Msa&Aderman,
11320,11320,Mira Mesa Bl & Black Mountain Rd,,32.91732087,-117.12576992,,,0,,1,F-W/B,,Mra Msa&Black Mtn,mirblW
13209,13209,Mira Mesa Bl & Caminito Alvarez,,32.90829613,-117.16615523,,,0,,1,F-E/B,,Mra Msa&Cmto Alvarez,
10511,10511,Mira Mesa Bl & Camino Ruiz,,32.91258260,-117.14303516,,,0,,1,F-E/B,,Mra Msa&Cmo Ruiz,mircru
11272,11272,Mira Mesa Bl & Camino Ruiz,,32.91286016,-117.14570018,,,0,,1,F-W/B,,Mra Msa&Cmo Ruiz,mircr1
13208,13208,Mira Mesa Bl & Camino Santa Fe,,32.90754028,-117.17059496,,,0,,1,F-E/B,,Mra Msa&Cmo Santa Fe,mircam
13218,13218,Mira Mesa Bl & Camino Santa Fe,,32.90762644,-117.17194156,,,0,,1,F-W/B,,Mra Msa&Cmo Santa Fe,mirca1
13215,13215,Mira Mesa Bl & Dabney Dr,,32.90985259,-117.15897362,,,0,,1,F-W/B,,Mra Msa&Dabney,
13206,13206,Mira Mesa Bl & Flanders Dr,,32.90654248,-117.17649180,,,0,,1,F-E/B,,Mra Msa&Flanders,mirfla
13220,13220,Mira Mesa Bl & Flanders Dr,,32.90666349,-117.17758134,,,0,,1,F-W/B,,Mra Msa&Flanders,
13221,13221,Mira Mesa Bl & Genetic Center Dr,,32.90535019,-117.18153603,,,0,,1,F-W/B,,Mra Msa&Genetic Ctr,
10542,10542,Mira Mesa Bl & Greenford Dr,,32.91395045,-117.13244572,,,0,,1,F-E/B,,Mra Msa&Greenford,
11294,11294,Mira Mesa Bl & Greenford Dr,,32.91374142,-117.13323544,,,0,,1,F-W/B,,Mra Msa&Greenford,
13204,13204,Mira Mesa Bl & Huennekens St,,32.90363000,-117.18367147,,,0,,1,F-E/B,,Mra Msa&Huennekens,
99202,99202,Mira Mesa Bl & Lusk Bl,,32.89592182,-117.19361747,,,0,,1,F-W/B,,Mra Msa&Lusk,obemir
10168,10168,Mira Mesa Bl & Marbury Av,,32.91589478,-117.12997238,,,0,,1,N-E/B,,Mra Msa&Marbury,
11257,11257,Mira Mesa Bl & Montongo St,,32.91198819,-117.15259603,,,0,,1,F-W/B,,Mra Msa&Montongo,
11282,11282,Mira Mesa Bl & New Salem St,,32.91300816,-117.13890442,,,0,,1,F-W/B,,Mra Msa&New Salem,
13202,13202,Mira Mesa Bl & Oberlin Dr,,32.89653640,-117.19267926,,,0,,1,F-E/B,,Mra Msa&Oberlin,obemir
13203,13203,Mira Mesa Bl & Pacific Heights Bl,,32.90025153,-117.18882244,,,0,,1,F-E/B,,Mra Msa&Pcfc Heights,mirpac
13223,13223,Mira Mesa Bl & Pacific Heights Bl,,32.89984713,-117.18995518,,,0,,1,F-W/B,,Mra Msa&Pcfc Heights,mirpac
10484,10484,Mira Mesa Bl & Parkdale Av,,32.91066148,-117.15511421,,,0,,1,F-E/B,,Mra Msa&Parkdale,
10859,10859,Mira Mesa Bl & Parkdale Av,,32.91054829,-117.15593417,,,0,,1,F-W/B,,Mra Msa&Parkdale,
10870,10870,Mira Mesa Bl & Reagan Rd,,32.91276341,-117.14842657,,,0,,1,N-W/B,,Mra Msa&Reagan,
10142,10142,Mira Mesa Bl & Reagan Rd (E),,32.91266890,-117.13907043,,,0,,1,N-E/B,,Mra Msa&Reagan (E),
10498,10498,Mira Mesa Bl & Reagan Rd (W),,32.91236820,-117.14872557,,,0,,1,F-E/B,,Mra Msa&Reagan (W),
10553,10553,Mira Mesa Bl & Rickert Rd,,32.91699255,-117.12672144,,,0,,1,F-E/B,,Mra Msa&Rickert,
10422,10422,Mira Mesa Bl & Scranton Rd,,32.89251792,-117.20095004,,,0,,0,F-E/B,,Mra Msa&Scranton,mirscr
13231,13231,Mira Mesa Bl & Scranton Rd,,32.89283056,-117.20210994,,,0,,1,F-W/B,,Mra Msa&Scranton,mirsc1
13293,13293,Mira Mesa Bl & Scripps Ranch Bl,,32.91688058,-117.11216065,,,0,,0,F-W/B,,Mra Msa&Scripps Ranch,
