"objectid","stop_uid","stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_agncy","wheelchair","intersec","stop_place","parent_sta","lat","lng"
"4509","NCTD_20166","20166","20166","Mission Av & Carey Rd East","33.20729000","-117.36122300","NCTD","","F-E/B","","","33.207285190276984","-117.36121102947764"
"4510","NCTD_20167","20167","20167","Oceanside Blvd & Commerce St","33.19137600","-117.36053600","NCTD","","F-E/B","","","33.19137119277746","-117.36052403112194"
"4511","NCTD_20169","20169","20169","Vista Way & Coast Hwy","33.17224100","-117.35910800","NCTD","","F-E/B","","","33.1722361948785","-117.35909603237285"
"4512","NCTD_20170","20170","20170","Oceanside Blvd & State Tree Dr","33.19238800","-117.35845000","NCTD","","F-E/B","ocstre","","33.192383191813626","-117.35843803123929"
"4513","NCTD_20171","20171","20171","Mission Av & Mesa Dr","33.20864300","-117.35870300","NCTD","","F-E/B","","","33.20863819110209","-117.35869103072723"
"4514","NCTD_20176","20176","20176","Mission Av & Carolyn Cir","33.21344800","-117.34799400","NCTD","","F-E/B","misaiE","","33.213443189403705","-117.34798203192729"
"4515","NCTD_20177","20177","20177","E Av & 10th St","33.29276600","-117.34793800","NCTD","","F-E/B","22area","","33.29276118003017","-117.34792602512299"
"4516","NCTD_20178","20178","20178","Carlsbad Village Dr & Harding St","33.16249300","-117.34355100","NCTD","","F-E/B","","","33.16248819509581","-117.34353903593419"
"4517","NCTD_20180","20180","20180","Mission Av & Foussat Rd","33.21706300","-117.34280000","NCTD","","F-E/B","","","33.21705818812592","-117.34278803238874"
"4518","NCTD_20181","20181","20181","Vandegrift Bl & A St","33.30496200","-117.34280400","NCTD","","F-E/B","22area","","33.304957178368255","-117.34279202558382"
"4519","NCTD_20182","20182","20182","Chestnut Av & Harding St","33.15765000","-117.34083000","NCTD","","F-E/B","","","33.15764519533982","-117.34081803707188"
"4520","NCTD_20183","20183","20183","Mesa Dr & Wilcox St","33.20994100","-117.34129400","NCTD","","N-N/B","","","33.20993618983378","-117.34128203255983"
"4521","NCTD_20184","20184","20184","Mesa Dr & Sea Ridge Rd","33.21115900","-117.34051300","NCTD","","F-N/B","","","33.211154189116805","-117.34050103308621"
"4522","NCTD_20185","20185","20185","Mission Av & Copperwood Way","33.21879900","-117.34034000","NCTD","","F-E/B","","","33.21879418851438","-117.3403280329258"
